Picture,Common Name,Scientific Name,Family,Last Seen,Random Comments,location
![](birdspics/chipping_sparrow_2510.JPG),Chipping Sparrow 褐斑翅雀鹀 ![](pixelart/chippingsparrow_s.png),*spizella passerina*,New World Sparrows,"Oct '25, West Lafayette IN",NA,US
![](birdspics/white_throated_sparrow_2410.JPG),White-throated Sparrow 白喉带鹀 ![](pixelart/whitethroatedsparrow_s.png),*zonotrichia albicollis*,New World Sparrows,"Oct '24, Baltimore MD","found dead around MICA, bird strike",US
![](birdspics/song_sparrow_2510.jpg),Song Sparrow 歌带鹀 ![](pixelart/songsparrow_s.png),*melospiza melodia*,New World Sparrows,"Oct '25, West Lafayette IN",NA,US
![](birdspics/dark_eyed_junco_2506.jpg),Dark-eyed Junco 暗眼灯草鹀 ![](pixelart/darkeyedjunco_s.png),*junco hyemalis*,New World Sparrows,"June '25, Los Angeles CA",NA,US
,Black-faced Bunting 灰头鹀,*emberiza apodocephala*,Old World Buntings,"Jan '26, Suzhou Jiangsu",NA,CN
![](birdspics/house_sparrow_2510.JPG),House Sparrow 家麻雀 ![](pixelart/housesparrow_s.png),*passer domesticus*,Old World Sparrows,"Oct '25, West Lafayette IN",white neckline,US
![](birdspics/eurasian_tree_sparrow_1911.jpg),Eurasian Tree Sparrow 麻雀 ![](pixelart/eurasiantreesparrow_s.png),*passer montanus*,Old World Sparrows,"July '25, Beijing",black cheek,CN
,Yellow-billed Grosbeak 黑尾蜡嘴雀,*eophona migratoria*,"Finches, Euphonias, and allies","Jan '26, Suzhou Jiangsu",NA,CN
,Red-fronted Rosefinch 红胸朱雀,*carpodacus puniceus*,"Finches, Euphonias, and allies","Mar '23, Lijiang Yunnan","seen at Yulong 4506 (mountain top with no covering), amazing creature",CN
![](birdspics/house_finch_2203.jpg),House Finch 家朱雀 ![](pixelart/housefinch_s.png),*haemorhous mexicanus*,"Finches, Euphonias, and allies","Nov '25, West Lafayette IN",very small bird,US
![](birdspics/grey_capped_greenfinch_2507.jpg),Grey-capped Greenfinch 金翅雀 ![](pixelart/greycappedgoldfinch_s.png),*chloris sinica*,"Finches, Euphonias, and allies","July '25, Yantai Shandong",NA,CN
![](birdspics/american_goldfinch_2510.jpg),American Goldfinch 北美金翅雀 ![](pixelart/americangoldfinch_s.png),*spinus tristis*,"Finches, Euphonias, and allies","Oct '25, West Lafayette IN",NA,US
![](birdspics/lesser_goldfinch_2506.jpg),Lesser Goldfinch 暗背金翅雀 ![](pixelart/lessergoldfinch_s.png),*carduelis psaltria*,"Finches, Euphonias, and allies","June '25, Los Angeles CA",NA,US
![](birdspics/northern_cardinal_2203.jpg),Northern Cardinal 主红雀 ![](pixelart/redcardinal_s.png),*cardinalis cardinalis*,"Cardinals, Grosbeaks, and allies","Nov '25, West Lafayette IN","cutest and most iconic bird in the USA, state bird of Indiana",US
![](birdspics/red_winged_blackbird_2504.JPG),Red-winged Blackbird 红翅黑鹂 ![](pixelart/redwingedblackbird_s.png),*agelaius phoeniceus*,Blackbirds,"Apr '25, Cambridge MD",have a very loud and distinguishable song,US
![](birdspics/common_grackle_2505.jpg),Common Grackle 普通拟八哥 ![](pixelart/commongrackle_s.png),*quiscalus quiscula*,Blackbirds,"May '25, Annapolis MD",NA,US
![](birdspics/great_tailed_grackle_2506.jpg),Great-tailed Grackle 大尾拟八哥 ![](pixelart/greattailedgrackle_s.png),*quiscalus mexicanus*,Blackbirds,"June '25, Malibu CA",NA,US
![](birdspics/european_starling_2501.JPG),European Starling 紫翅椋鸟 ![](pixelart/europeanstarling_s.png),*sturnus vulgaris*,Starlings and Mynas,"Nov '25, West Lafayette IN",NA,US
![](birdspics/red_billed_starling_2512.jpg),Red-billed Starling 丝光椋鸟 ![](pixelart/redbilledstarling_s.png),*spodiopsar cineraceus*,Starlings and Mynas,"Dec '25, Suzhou Jiangsu","cutie pie, red beaks",CN
![](birdspics/white_cheeked_starling_2512.jpg),White-cheeked Starling 灰椋鸟,*spodiopsar cineraceus*,Starlings and Mynas,"Dec '25, Suzhou Jiangsu","large gatherings on trees, usually hundreds",CN
![](birdspics/crested_myna_2512.jpg),Crested Myna 八哥 ![](pixelart/crestedmyna_s.png),*acridotheres cristatellus*,Starlings and Mynas,"June '25, Suzhou Jiangsu",when flying white patch on wings,CN
